"Action is not available","Action is not available"
"Error processing Amazon Login","Error processing Amazon Login"
"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop."
"Login with Amazon","Login with Amazon"
"With Amazon Payments, you can use the shipping and payment information stored in your Amazon account to place an order on this website. <br />It's a convenient and trusted way to pay that's enjoyed by millions of people. By selecting Amazon Payments, you will be asked to sign-in securely to your Amazon account without leaving the shop.","With Amazon Payments, you can use the shipping and payment information stored in your Amazon account to place an order on this website. <br />It's a convenient and trusted way to pay that's enjoyed by millions of people. By selecting Amazon Payments, you will be asked to sign-in securely to your Amazon account without leaving the shop."
"Securely login into our website using your existing Amazon details.","Securely login into our website using your existing Amazon details."
"Welcome back!","Welcome back!"
"Continue as Guest","Continue as Guest"
"Action is not available","Action is not available"
"the email address for your Amazon account is invalid","the email address for your Amazon account is invalid"
"* Required Fields","* Required Fields"
"Password","Password"
"Ok","Ok"
"Forgot Your Password?","Forgot Your Password?"
